idParagraph,0,idLeaflet,1,leafletAcronym,2,text,3,class,4,idInternal,5,question,6
97,97,2,2,horizons,horizons,"* The only people in UHSFT and the MSRG who will have access to information that identifies you will be people who need to contact you to send or request questionnaires, process and analyse your data, or audit the data collection process.","* The only people in UHSFT and the MSRG who will have access to information that identifies you will be people who need to contact you to send or request questionnaires, process and analyse your data, or audit the data collection process.","n AlignTab","n AlignTab",53,53,,
98,98,2,2,horizons,horizons,"Where this information could identify you, the information will be held securely with strict arrangements about who can access the information.","Where this information could identify you, the information will be held securely with strict arrangements about who can access the information.","n AlignTab","n AlignTab",54,54,,
99,99,2,2,horizons,horizons,"* Your hospital and the MSRG will keep identifiable information about you from this study for 10 years after the study has finished.","* Your hospital and the MSRG will keep identifiable information about you from this study for 10 years after the study has finished.","n AlignTab","n AlignTab",55,55,,
100,100,2,2,horizons,horizons,"* When you agree to take part in a research study, the information about your health and care may be provided to researchers running other research studies in this organisation and in other organisations. These organisations may be universities, NHS organisations or companies involved in health and care research in this country or abroad.","* When you agree to take part in a research study, the information about your health and care may be provided to researchers running other research studies in this organisation and in other organisations. These organisations may be universities, NHS organisations or companies involved in health and care research in this country or abroad.","n AlignTab","n AlignTab",56,56,,
101,101,2,2,horizons,horizons,"* Your information will only be used by organisations and researchers to conduct research in accordance with the UK Policy Framework for Health and Social Care Research.","* Your information will only be used by organisations and researchers to conduct research in accordance with the UK Policy Framework for Health and Social Care Research.","n AlignTab","n AlignTab",57,57,,
102,102,2,2,horizons,horizons,"* This information will not identify you and will not be combined with other information in a way that could identify you. The information will only be used for the purpose of health and care research, and cannot be used to contact you or to affect your care. It will not be used to make decisions about future services available to you, such as insurance.","* This information will not identify you and will not be combined with other information in a way that could identify you. The information will only be used for the purpose of health and care research, and cannot be used to contact you or to affect your care. It will not be used to make decisions about future services available to you, such as insurance.","n AlignTab","n AlignTab",58,58,,
103,103,2,2,horizons,horizons,"9. Will my taking part in this study be kept confidential?","9. Will my taking part in this study be kept confidential?",s,s,59,59,,
104,104,2,2,horizons,horizons,"* All information which is collected about you during the course of the research will be kept strictly confidential.","* All information which is collected about you during the course of the research will be kept strictly confidential.","n AlignTab","n AlignTab",60,60,,
105,105,2,2,horizons,horizons,"* We will ask you for your contact details so that the questionnaires can be posted out to you. These questionnaires will not have your name on. We will use a study ID number on questionnaires, which will not personally identify you.","* We will ask you for your contact details so that the questionnaires can be posted out to you. These questionnaires will not have your name on. We will use a study ID number on questionnaires, which will not personally identify you.","n AlignTab","n AlignTab",61,61,,
106,106,2,2,horizons,horizons,"* In the consent form we will ask if you are happy for us to use direct, anonymous, quotations from the questionnaires in any reports or publications we write. We will never use your name.","* In the consent form we will ask if you are happy for us to use direct, anonymous, quotations from the questionnaires in any reports or publications we write. We will never use your name.","n AlignTab","n AlignTab",62,62,,
107,107,2,2,horizons,horizons,"* We will also ask you in the consent form if the information collected in this research may be shared anonymously with other researchers to support research in the future. Before the data is shared, anything that directly identifies you personally will be removed.","* We will also ask you in the consent form if the information collected in this research may be shared anonymously with other researchers to support research in the future. Before the data is shared, anything that directly identifies you personally will be removed.","n AlignTab","n AlignTab",63,63,,
108,108,2,2,horizons,horizons,"* Any medical information about you which leaves your hospital will have your name and address removed so that you cannot be recognised. This anonymous medical data will be sent from your hospital to the HORIZONS researchers at the University of Southampton.","* Any medical information about you which leaves your hospital will have your name and address removed so that you cannot be recognised. This anonymous medical data will be sent from your hospital to the HORIZONS researchers at the University of Southampton.","n AlignTab","n AlignTab",64,64,,
109,109,2,2,horizons,horizons,"* If you have agreed for us to collect routine NHS data this will be tracked using your NHS and hospital numbers, but your name will be removed.","* If you have agreed for us to collect routine NHS data this will be tracked using your NHS and hospital numbers, but your name will be removed.","n AlignTab","n AlignTab",65,65,,
110,110,2,2,horizons,horizons,"* Information held on national databases such as NHS Digital and other central UK bodies may be used to help contact you or provide additional information for health research. If you have provided consent, your NHS or hospital number will be sent securely to these organisations so your data can be linked.","* Information held on national databases such as NHS Digital and other central UK bodies may be used to help contact you or provide additional information for health research. If you have provided consent, your NHS or hospital number will be sent securely to these organisations so your data can be linked.","n AlignTab","n AlignTab",66,66,,
111,111,2,2,horizons,horizons,"* All data stored at the University of Southampton will be kept in locked filing cabinets in a secure office, accessible only by the HORIZONS research team. The answers that you give in the questionnaires will be kept separately from your name and other identifiable information.","* All data stored at the University of Southampton will be kept in locked filing cabinets in a secure office, accessible only by the HORIZONS research team. The answers that you give in the questionnaires will be kept separately from your name and other identifiable information.","n AlignTab","n AlignTab",67,67,,
112,112,2,2,horizons,horizons,"10. What will happen if I donâ€™t want to carry on with the study?","10. What will happen if I donâ€™t want to carry on with the study?",s,s,68,68,,
113,113,2,2,horizons,horizons,"* You are free to withdraw from the study at any time without giving a reason. A decision not to take part, or to withdraw at any time, will not affect the care you receive.","* You are free to withdraw from the study at any time without giving a reason. A decision not to take part, or to withdraw at any time, will not affect the care you receive.","n AlignTab","n AlignTab",69,69,,
114,114,2,2,horizons,horizons,"* You can withdraw by telephoning us on 023 8059 6885 â€“ Monday to Friday 9:00 â€“ 17:00 or by emailing","* You can withdraw by telephoning us on 023 8059 6885 â€“ Monday to Friday 9:00 â€“ 17:00 or by emailing","n AlignTab","n AlignTab",70,70,,
115,115,2,2,horizons,horizons,HORIZONS@soton.ac.uk,HORIZONS@soton.ac.uk,"n AlignTab","n AlignTab",71,71,,
116,116,2,2,horizons,horizons,". This will allow us to discuss your concerns with you and determine the level of withdrawal with you.",". This will allow us to discuss your concerns with you and determine the level of withdrawal with you.","n AlignTab","n AlignTab",72,72,,
117,117,2,2,horizons,horizons,"* The options for withdrawal are;","* The options for withdrawal are;","n AlignTab","n AlignTab",73,73,,
118,118,2,2,horizons,horizons,"  - You may choose not to receive further questionnaires but are happy for us to use the answers you have given us so far and for us to continue to access your medical records","  - You may choose not to receive further questionnaires but are happy for us to use the answers you have given us so far and for us to continue to access your medical records","n AlignTab2","n AlignTab2",74,74,,
119,119,2,2,horizons,horizons,Or,Or,"n AlignTab","n AlignTab",75,75,,
120,120,2,2,horizons,horizons,"  -You may prefer for the researchers to no longer contact you or access your medical records in the future but use the information provided so far","  -You may prefer for the researchers to no longer contact you or access your medical records in the future but use the information provided so far","n AlignTab2","n AlignTab2",76,76,,
121,121,2,2,horizons,horizons,Or,Or,"n AlignTab","n AlignTab",77,77,,
122,122,2,2,horizons,horizons,"  -You may prefer the researchers to no longer contact you or use the information collected previously","  -You may prefer the researchers to no longer contact you or use the information collected previously","n AlignTab2","n AlignTab2",78,78,,
123,123,2,2,horizons,horizons,"11. Involvement of your General Practitioner/ Family doctor (GP)","11. Involvement of your General Practitioner/ Family doctor (GP)",s,s,79,79,,
124,124,2,2,horizons,horizons,"* We will inform your GP that you are taking part in this study, and may contact your GP before mailing out the follow up questionnaire in case your details have changed or you have moved.","* We will inform your GP that you are taking part in this study, and may contact your GP before mailing out the follow up questionnaire in case your details have changed or you have moved.","n AlignTab","n AlignTab",80,80,,
125,125,2,2,horizons,horizons,"12. What will happen to the results of this study?","12. What will happen to the results of this study?",s,s,81,81,,
126,126,2,2,horizons,horizons,"* Details of the study and its progress can be found on the HORIZONS website:","* Details of the study and its progress can be found on the HORIZONS website:","n AlignTab","n AlignTab",82,82,,
127,127,2,2,horizons,horizons,www.HORIZONS-hub.org.uk.,www.HORIZONS-hub.org.uk.,"n AlignTab","n AlignTab",83,83,,
128,128,2,2,horizons,horizons,"* To keep you updated throughout the study we may also send you newsletters by post or email, if you would like to receive them.","* To keep you updated throughout the study we may also send you newsletters by post or email, if you would like to receive them.","n AlignTab","n AlignTab",84,84,,
129,129,2,2,horizons,horizons,"* You will be sent a short summary of the study findings if you request this. A summary of the results will be made available on the HORIZONS website.","* You will be sent a short summary of the study findings if you request this. A summary of the results will be made available on the HORIZONS website.","n AlignTab","n AlignTab",85,85,,
130,130,2,2,horizons,horizons,"* During the study our funders, Macmillan Cancer Support, will receive reports of the study findings. The results of this study will be made available to all participating hospital specialists, will be published in health care journals and presented at national and international conferences.","* During the study our funders, Macmillan Cancer Support, will receive reports of the study findings. The results of this study will be made available to all participating hospital specialists, will be published in health care journals and presented at national and international conferences.","n AlignTab","n AlignTab",86,86,,
131,131,2,2,horizons,horizons,"13. Who is organising and funding the research?","13. Who is organising and funding the research?",s,s,87,87,,
132,132,2,2,horizons,horizons,"* This research is being organised by the School of Health Sciences, University of Southampton and University Hospitals Southampton NHS Foundation Trust.","* This research is being organised by the School of Health Sciences, University of Southampton and University Hospitals Southampton NHS Foundation Trust.","n AlignTab","n AlignTab",88,88,,
133,133,2,2,horizons,horizons,"* The research has been funded by Macmillan Cancer Support.","* The research has been funded by Macmillan Cancer Support.","n AlignTab","n AlignTab",89,89,,
134,134,2,2,horizons,horizons,"* The Chief Investigator for this study is Professor Claire Foster","* The Chief Investigator for this study is Professor Claire Foster","n AlignTab","n AlignTab",90,90,,
135,135,2,2,horizons,horizons,"14. Who has reviewed the study?","14. Who has reviewed the study?",s,s,91,91,,
136,136,2,2,horizons,horizons,"* The study has been reviewed by Macmillan Cancer Support and by the relevant Clinical Studies Groups of the National Cancer Research Institute.","* The study has been reviewed by Macmillan Cancer Support and by the relevant Clinical Studies Groups of the National Cancer Research Institute.","n AlignTab","n AlignTab",92,92,,
137,137,2,2,horizons,horizons,"* All research in the NHS is looked at by an independent group of people, called a Research Ethics Committee, to protect your interests. This study has been reviewed and given a favourable opinion by the North West â€“ Lancaster Research Ethics Committee.","* All research in the NHS is looked at by an independent group of people, called a Research Ethics Committee, to protect your interests. This study has been reviewed and given a favourable opinion by the North West â€“ Lancaster Research Ethics Committee.","n AlignTab","n AlignTab",93,93,,
138,138,2,2,horizons,horizons,"* A group of patients review all the study documents you will be given.","* A group of patients review all the study documents you will be given.","n AlignTab","n AlignTab",94,94,,
139,139,2,2,horizons,horizons,"15. What if there is a problem?","15. What if there is a problem?",s,s,95,95,,
140,140,2,2,horizons,horizons,"* If you have a concern about any aspect of this study please let us know.","* If you have a concern about any aspect of this study please let us know.","n AlignTab","n AlignTab",96,96,,
141,141,2,2,horizons,horizons,"* If you remain unhappy and wish to complain formally, you can do this via the University Hospital Southampton NHS Foundation Trust Patient Advice and Liaison Service email","* If you remain unhappy and wish to complain formally, you can do this via the University Hospital Southampton NHS Foundation Trust Patient Advice and Liaison Service email","n AlignTab","n AlignTab",97,97,,
142,142,2,2,horizons,horizons,PALS@uhs.nhs.uk,PALS@uhs.nhs.uk,"n AlignTab","n AlignTab",98,98,,
143,143,2,2,horizons,horizons,"or telephone 023 8120 8498 or through your local PALs office:","or telephone 023 8120 8498 or through your local PALs office:","n AlignTab","n AlignTab",99,99,,
144,144,2,2,horizons,horizons,"PALS office Email: [local PALS email here] Tel: [local PALS telephone number here] ","PALS office Email: [local PALS email here] Tel: [local PALS telephone number here] ","n AlignTab","n AlignTab",100,100,,
145,145,2,2,horizons,horizons,"16. Further information and contact details","16. Further information and contact details",s,s,101,101,,
146,146,2,2,horizons,horizons,"* If you require information about this research project that hasnâ€™t been covered in this information sheet please contact the;","* If you require information about this research project that hasnâ€™t been covered in this information sheet please contact the;","n AlignTab","n AlignTab",102,102,,
147,147,2,2,horizons,horizons,"  -University of Southampton HORIZONS research office on 023 8059 6885","  -University of Southampton HORIZONS research office on 023 8059 6885","n AlignTab2","n AlignTab2",103,103,,
148,148,2,2,horizons,horizons,"  -Chief Investigator, Professor Claire Foster 023 8059 6885","  -Chief Investigator, Professor Claire Foster 023 8059 6885","n AlignTab2","n AlignTab2",104,104,,
149,149,2,2,horizons,horizons,"  -Your hospital [add name of main contact and contact details for this study at your site here], the Principal Investigatorâ€™s contact details are below.","  -Your hospital [add name of main contact and contact details for this study at your site here], the Principal Investigatorâ€™s contact details are below.","n AlignTab2","n AlignTab2",105,105,,
150,150,2,2,horizons,horizons,"[add local PI name here] Principal Investigator [add local PI contact details here]","[add local PI name here] Principal Investigator [add local PI contact details here]","n AlignTab","n AlignTab",106,106,,
151,151,2,2,horizons,horizons,"Professor Claire Foster School of Health Sciences University of Southampton Highfield, Southampton, SO17 1BJ Telephone 023 8059 6885 ","Professor Claire Foster School of Health Sciences University of Southampton Highfield, Southampton, SO17 1BJ Telephone 023 8059 6885 ","n AlignTab","n AlignTab",107,107,,
152,152,2,2,horizons,horizons,"This information sheet is for you to keep. If you decide to participate you will be asked to sign a consent form and given a copy of this to keep for your records ","This information sheet is for you to keep. If you decide to participate you will be asked to sign a consent form and given a copy of this to keep for your records ",c,c,108,108,,
153,153,2,2,horizons,horizons,"Thank you for taking the time to read this information sheet","Thank you for taking the time to read this information sheet","t2 c","t2 c",109,109,,
154,154,3,3,null,null,"University of Surrey University of Southampton Prostate Cancer UK Movember Foundation","University of Surrey University of Southampton Prostate Cancer UK Movember Foundation","t c","t c",1,1,,
155,155,3,3,null,null,"Participant Information Sheet","Participant Information Sheet","t c","t c",2,2,,
156,156,3,3,null,null,"Study Title: Evaluation of the impact of a Prostate Cancer Survivorship Care Programme.","Study Title: Evaluation of the impact of a Prostate Cancer Survivorship Care Programme.",t2,t2,3,3,,
157,157,3,3,null,null,"Study No: NRES Committee East of England - Cambridge South reference number 14/EE/1021","Study No: NRES Committee East of England - Cambridge South reference number 14/EE/1021",t2,t2,4,4,,
158,158,3,3,null,null,"Invitation to participate","Invitation to participate",s,s,5,5,,
159,159,3,3,null,null,"You are being invited to take part in a research study. Before you decide for sure that you would like to take part, it is important you understand why the research is being done and what it would involve. Please take time to decide whether or not you wish to take part and ask if anything is not clear (contact details are at the end of this sheet).","You are being invited to take part in a research study. Before you decide for sure that you would like to take part, it is important you understand why the research is being done and what it would involve. Please take time to decide whether or not you wish to take part and ask if anything is not clear (contact details are at the end of this sheet).",AlignTab,AlignTab,6,6,,
160,160,3,3,null,null,"What is the purpose of the study?","What is the purpose of the study?",s,s,7,7,,
161,161,3,3,null,null,"The Charity Prostate Cancer UK in conjunction with Movember is funding the introduction of a new service - the Prostate Cancer Survivorship Care Programme - in five NHS hospitals in the UK. The Care Programme will be introduced in January 2015. Part of the Care Programme will be a workshop for men with prostate cancer which will help them better manage any prostate cancer related issues they have. The workshop has been used previously with patients with breast, colorectal and testicular cancer. The content of the workshop has been adapted to suit the needs of men with prostate cancer. We want to find out what men think about the workshop and whether it might be improved.","The Charity Prostate Cancer UK in conjunction with Movember is funding the introduction of a new service - the Prostate Cancer Survivorship Care Programme - in five NHS hospitals in the UK. The Care Programme will be introduced in January 2015. Part of the Care Programme will be a workshop for men with prostate cancer which will help them better manage any prostate cancer related issues they have. The workshop has been used previously with patients with breast, colorectal and testicular cancer. The content of the workshop has been adapted to suit the needs of men with prostate cancer. We want to find out what men think about the workshop and whether it might be improved.",AlignTab,AlignTab,8,8,,
162,162,3,3,null,null,"Why have I been invited to take part?","Why have I been invited to take part?",s,s,9,9,,
163,163,3,3,null,null,"We are inviting all men who attended the new workshop to take part in the research.","We are inviting all men who attended the new workshop to take part in the research.",AlignTab,AlignTab,10,10,,
164,164,3,3,null,null,"Do I have to take part?","Do I have to take part?",s,s,11,11,,
165,165,3,3,null,null,"No, taking part in this research is voluntary and your medical care will not be affected if you decide you do not wish to take part. If you do agree to take part, you can withdraw from the research at any time without giving a reason.","No, taking part in this research is voluntary and your medical care will not be affected if you decide you do not wish to take part. If you do agree to take part, you can withdraw from the research at any time without giving a reason.",AlignTab,AlignTab,12,12,,
166,166,3,3,null,null,"What will happen to me if I take part in the study?","What will happen to me if I take part in the study?",s,s,13,13,,
167,167,3,3,null,null,"You will be asked to complete a questionnaire about your experience of the workshop. The questionnaire will include questions about what you liked and didn't like about the workshop format and content. The questionnaire can be completed at the end of the workshop session, or at home and returned to us in a freepost envelope which we will provide.","You will be asked to complete a questionnaire about your experience of the workshop. The questionnaire will include questions about what you liked and didn't like about the workshop format and content. The questionnaire can be completed at the end of the workshop session, or at home and returned to us in a freepost envelope which we will provide.",AlignTab,AlignTab,14,14,,
168,168,3,3,null,null,"You will also be asked whether you are happy to take part in an interview about your experience of the workshop. We will not be able to talk to everyone but would like to talk to men of different ages, who have had different cancer treatments and different levels of experience of computing. Interviews will be audio recorded so that we can analyse them later. The interview will not take more than 60 minutes. There are no 'right' or 'wrong' answers, we are interested in your opinions and experiences. The interview can be held at the hospital, a university office or at your home, whichever you prefer, and at a time convenient to you. Your responses will be anonymous and you will not be identifiable from any of the recordings or reports arising from the study.","You will also be asked whether you are happy to take part in an interview about your experience of the workshop. We will not be able to talk to everyone but would like to talk to men of different ages, who have had different cancer treatments and different levels of experience of computing. Interviews will be audio recorded so that we can analyse them later. The interview will not take more than 60 minutes. There are no 'right' or 'wrong' answers, we are interested in your opinions and experiences. The interview can be held at the hospital, a university office or at your home, whichever you prefer, and at a time convenient to you. Your responses will be anonymous and you will not be identifiable from any of the recordings or reports arising from the study.",AlignTab,AlignTab,15,15,,
169,169,3,3,null,null,"Are there any benefits of taking part?","Are there any benefits of taking part?",s,s,16,16,,
170,170,3,3,null,null,"It is unlikely that you will benefit directly from taking part in this research, but the results from the study will help us to further develop and improve services for men with prostate cancer.","It is unlikely that you will benefit directly from taking part in this research, but the results from the study will help us to further develop and improve services for men with prostate cancer.",AlignTab,AlignTab,17,17,,
171,171,3,3,null,null,"What are the possible disadvantages or risks of taking part?","What are the possible disadvantages or risks of taking part?",s,s,18,18,,
172,172,3,3,null,null,"There are minimal disadvantages to taking part in the research. The main disadvantage is the time it will take. The questionnaire will take around 10 minutes to complete and the interview will take up to one hour. Some people may find distressing to reflect on their experiences or their care. You will be able to skip any questions that you do not wish to answer or you can stop the questionnaire or interview at any point, should you wish to do so.","There are minimal disadvantages to taking part in the research. The main disadvantage is the time it will take. The questionnaire will take around 10 minutes to complete and the interview will take up to one hour. Some people may find distressing to reflect on their experiences or their care. You will be able to skip any questions that you do not wish to answer or you can stop the questionnaire or interview at any point, should you wish to do so.",AlignTab,AlignTab,19,19,,
173,173,3,3,null,null,"Will my taking part in the study be kept confidential?","Will my taking part in the study be kept confidential?",AlignTab,AlignTab,20,20,,
174,174,3,3,null,null,"Neither the information that is collected about you during the course of the study nor any of the results published will identify you personally. Instead, you will be allocated a number at the start of the study that will be used to identify your data; your name and address will not be recorded on the questionnaire. All personal details (such as your name and address) will be stored separately in locked filling cabinets and held on computers which will be password protected and only accessible by members of the University of Southampton research team.","Neither the information that is collected about you during the course of the study nor any of the results published will identify you personally. Instead, you will be allocated a number at the start of the study that will be used to identify your data; your name and address will not be recorded on the questionnaire. All personal details (such as your name and address) will be stored separately in locked filling cabinets and held on computers which will be password protected and only accessible by members of the University of Southampton research team.",AlignTab,AlignTab,21,21,,
175,175,3,3,null,null,"All data, including audio recordings, collected in the study will be held for 10 years and will then be destroyed in accordance with University of Southampton policy.","All data, including audio recordings, collected in the study will be held for 10 years and will then be destroyed in accordance with University of Southampton policy.",AlignTab,AlignTab,22,22,,
176,176,3,3,null,null,"What will happen to the results of the study?","What will happen to the results of the study?",s,s,23,23,,
177,177,3,3,null,null,"The purpose of the research is to develop a workshop which is right for men with prostate cancer and your views will be used to do this. A final report will be prepared for the funders and the results of the study will be published in health care journals and presented at conferences.","The purpose of the research is to develop a workshop which is right for men with prostate cancer and your views will be used to do this. A final report will be prepared for the funders and the results of the study will be published in health care journals and presented at conferences.",AlignTab,AlignTab,24,24,,
178,178,3,3,null,null,"Everyone taking part in this study will be asked whether they would like to be kept informed of the results of the study. A summary of the results will be sent to those who request it.","Everyone taking part in this study will be asked whether they would like to be kept informed of the results of the study. A summary of the results will be sent to those who request it.",AlignTab,AlignTab,25,25,,
179,179,3,3,null,null,"Who is organising and funding the study?","Who is organising and funding the study?",s,s,26,26,,
180,180,3,3,null,null,"The research is being organised and co-ordinated by the University of Southampton in conjuction with the University of Surrey. The funder is Prostate Cancer UK in conjunction with Movember.","The research is being organised and co-ordinated by the University of Southampton in conjuction with the University of Surrey. The funder is Prostate Cancer UK in conjunction with Movember.",AlignTab,AlignTab,27,27,,
181,181,3,3,null,null,"Who has reviewed the study?","Who has reviewed the study?",s,s,28,28,,
182,182,3,3,null,null,"The study has been reviewed and received a favourable opinion from East of England - Cambridge South Ethics Committee.","The study has been reviewed and received a favourable opinion from East of England - Cambridge South Ethics Committee.",AlignTab,AlignTab,29,29,,
183,183,3,3,null,null,"What is there is a problem?","What is there is a problem?",s,s,30,30,,
184,184,3,3,null,null,"If you have a concern or a complaint about the conduct of this study you should contact: The Research Governance Manager, Building 37, University of Southampton, Highfield, Southampton, SO17 1BJ, Telephone: 023 8059 5058 or email rgoinfo@soton.ac.uk.","If you have a concern or a complaint about the conduct of this study you should contact: The Research Governance Manager, Building 37, University of Southampton, Highfield, Southampton, SO17 1BJ, Telephone: 023 8059 5058 or email rgoinfo@soton.ac.uk.",AlignTab,AlignTab,31,31,,
185,185,3,3,null,null,"If you remain unhappy and wish to complain formally the Research Governance Manager can provide you with details of the University of Southampton complaints procedure.","If you remain unhappy and wish to complain formally the Research Governance Manager can provide you with details of the University of Southampton complaints procedure.",AlignTab,AlignTab,32,32,,
186,186,3,3,null,null,"What do I do now?","What do I do now?",s,s,33,33,,
187,187,3,3,null,null,"If, having read this information, you are happy to take part, please complete the questionnaire and return it to the researcher at the workshop, or send it to us at the University of Southampton in the pre-paid envelope provided.","If, having read this information, you are happy to take part, please complete the questionnaire and return it to the researcher at the workshop, or send it to us at the University of Southampton in the pre-paid envelope provided.",AlignTab,AlignTab,34,34,,
188,188,3,3,null,null,"If you are happy to take part in the interview, please complete the reply slip and return it to the researcher at the workshop, or send it us at the University of Southampton in the pre-paid envelope provided. A researcher will the contact you by the telephone about the interview.","If you are happy to take part in the interview, please complete the reply slip and return it to the researcher at the workshop, or send it us at the University of Southampton in the pre-paid envelope provided. A researcher will the contact you by the telephone about the interview.",AlignTab,AlignTab,35,35,,
189,189,3,3,null,null,"Contact for further information","Contact for further information",s,s,36,36,,
190,190,3,3,null,null,"If you have any questions about this research, please contact either Dr Jane Frankland or Dr Debbie Cooke. Their contact details are given below:","If you have any questions about this research, please contact either Dr Jane Frankland or Dr Debbie Cooke. Their contact details are given below:",AlignTab,AlignTab,37,37,,
191,191,3,3,null,null,"Dr Jane Frankland Senior Research Fellow School of Health Sciences University of Southampton Southampton, SO17 1BJ. Direct line: [Telephone Number] E-mail: [Contact Email]","Dr Jane Frankland Senior Research Fellow School of Health Sciences University of Southampton Southampton, SO17 1BJ. Direct line: [Telephone Number] E-mail: [Contact Email]",AlignTab,AlignTab,38,38,,
192,192,3,3,null,null,"Dr Debbie Cooke School of Health & Social Care Faculty of Health & Medical Sciences University of Surrey Guildford, GU2 7XH Direct line: [Telephone Number] E-mail: [Contact Email]","Dr Debbie Cooke School of Health & Social Care Faculty of Health & Medical Sciences University of Surrey Guildford, GU2 7XH Direct line: [Telephone Number] E-mail: [Contact Email]",AlignTab,AlignTab,39,39,,
193,193,3,3,null,null,"Thank you for taking the time to read this information sheet. ","Thank you for taking the time to read this information sheet. ","t2 c","t2 c",40,40,,
194,194,4,4,truenth,truenth,"Central Research Office Tel: 023 8059 6885 Chief Investigator: Professor Claire Foster; Tel: 023 8059 6885 Local Principal Investigator: [insert name and contact telephone here]","Central Research Office Tel: 023 8059 6885 Chief Investigator: Professor Claire Foster; Tel: 023 8059 6885 Local Principal Investigator: [insert name and contact telephone here]",t2,t2,1,1,,
195,195,4,4,truenth,truenth,"TrueNTH Global Registry Participant Information Sheet","TrueNTH Global Registry Participant Information Sheet","t c","t c",2,2,,
196,196,4,4,truenth,truenth,"1. We invite you to take part in a study","1. We invite you to take part in a study",s,s,3,3,,
197,197,4,4,truenth,truenth,"*We would like to invite you to take part in the TrueNTH Global Registry Study. Before you decide we would like you to understand why the research is being done and what it would involve.","*We would like to invite you to take part in the TrueNTH Global Registry Study. Before you decide we would like you to understand why the research is being done and what it would involve.",AlignTab,AlignTab,4,4,,
198,198,4,4,truenth,truenth,"*The research nurse or member of your clinical team will go through the information sheet with you and answer any questions you have. This will take about 10 minutes. Please take the information sheet away with you and you can talk to your friends, family or clinical team about the study if you wish. Take time to make your decision.","*The research nurse or member of your clinical team will go through the information sheet with you and answer any questions you have. This will take about 10 minutes. Please take the information sheet away with you and you can talk to your friends, family or clinical team about the study if you wish. Take time to make your decision.",AlignTab,AlignTab,5,5,,
199,199,4,4,truenth,truenth,"*This study will follow a large group of patients, both from the UK and around the world, over time who have had a diagnosis of prostate cancer. We will be asking participants to complete questionnaires to find out how men’s health and well-being is after diagnosis and treatment.","*This study will follow a large group of patients, both from the UK and around the world, over time who have had a diagnosis of prostate cancer. We will be asking participants to complete questionnaires to find out how men’s health and well-being is after diagnosis and treatment.",AlignTab,AlignTab,6,6,,
200,200,4,4,truenth,truenth,"*We understand that this invitation comes at a time when you have a lot to deal with already, but we need to find out how you are before your treatment, so that we can find out whether your health and well-being changes over time.","*We understand that this invitation comes at a time when you have a lot to deal with already, but we need to find out how you are before your treatment, so that we can find out whether your health and well-being changes over time.",AlignTab,AlignTab,7,7,,
201,201,4,4,truenth,truenth,"2. Why are we doing this study?","2. Why are we doing this study?",s,s,8,8,,
202,202,4,4,truenth,truenth,"*The care for men with prostate cancer varies greatly around the world.","*The care for men with prostate cancer varies greatly around the world.",AlignTab,AlignTab,9,9,,
203,203,4,4,truenth,truenth,"*We will be asking approximately 1,300 patients from the UK to take part in the study over 3 years. Patients will have had a diagnosis of localised prostate cancer (cancer is confined to the prostate and hasn’t spread anywhere else in the body). Recruitment will take place prior to treatment from hospitals across the UK.","*We will be asking approximately 1,300 patients from the UK to take part in the study over 3 years. Patients will have had a diagnosis of localised prostate cancer (cancer is confined to the prostate and hasn’t spread anywhere else in the body). Recruitment will take place prior to treatment from hospitals across the UK.",AlignTab,AlignTab,10,10,,
204,204,4,4,truenth,truenth,"*We are interested in how a diagnosis of prostate cancer and its treatment affects a person’s health and wellbeing.","*We are interested in how a diagnosis of prostate cancer and its treatment affects a person’s health and wellbeing.",AlignTab,AlignTab,11,11,,
205,205,4,4,truenth,truenth,"*Other studies collect data about people from their medical and hospital records, but we believe it is important to find out about your health and wellbeing from your perspective through your responses to questionnaires.","*Other studies collect data about people from their medical and hospital records, but we believe it is important to find out about your health and wellbeing from your perspective through your responses to questionnaires.",AlignTab,AlignTab,12,12,,
206,206,4,4,truenth,truenth,"*Comparing data from the UK and around the world will help us to understand new ways to improve care for men with prostate cancer.","*Comparing data from the UK and around the world will help us to understand new ways to improve care for men with prostate cancer.",AlignTab,AlignTab,13,13,,
207,207,4,4,truenth,truenth,"3. Why have I been asked to take part?","3. Why have I been asked to take part?",s,s,14,14,,
208,208,4,4,truenth,truenth,"*You have been asked to take part in the study because you have been diagnosed with localised prostate cancer and are waiting for treatment or are undergoing watchful waiting or active surveillance.","*You have been asked to take part in the study because you have been diagnosed with localised prostate cancer and are waiting for treatment or are undergoing watchful waiting or active surveillance.",AlignTab,AlignTab,15,15,,
209,209,4,4,truenth,truenth,"4. What would taking part involve?","4. What would taking part involve?",s,s,16,16,,
210,210,4,4,truenth,truenth,"*After you have read the information sheet and have had your questions answered, you will be asked whether you are happy to take part in the study.","*After you have read the information sheet and have had your questions answered, you will be asked whether you are happy to take part in the study.",AlignTab,AlignTab,17,17,,
211,211,4,4,truenth,truenth,"*If you would like to take part you will be given a consent form to complete with the nurse or researcher and a questionnaire to fill in. You can complete the questionnaire electronically or on paper during your hospital visit and hand it to the nurse or researcher or you can take it home to complete and return in the pre-paid envelope.","*If you would like to take part you will be given a consent form to complete with the nurse or researcher and a questionnaire to fill in. You can complete the questionnaire electronically or on paper during your hospital visit and hand it to the nurse or researcher or you can take it home to complete and return in the pre-paid envelope.",AlignTab,AlignTab,18,18,,
