idClozeW,0,idReviser,1,idLeaflet,2,idSentence,3,clozeField1,4,clozeField2,5,clozeField3,6,clozeField4,7,clozeField5,8,clozeField6,9,clozeField7,10,clozeField8,11,clozeField9,12,clozeField10,13,dateT,14,flag,15,idGroup,16
274,274,AENGDOS693JKO,AENGDOS693JKO,2,2,7,7,"START TO","START TO","IN THE COUNTRY","IN THE COUNTRY",PROVIDE,PROVIDE,CANN',CANN',THESE,THESE,WILL,WILL,,,,,,,,,"2019-08-19 04:27:06","2019-08-19 04:27:06",123,123,121,121
275,275,https://wppi.soton.a,https://wppi.soton.a,3,3,24,24,The,The,is,is,which,which,with,with,answers,answers,,,,,,,,,,,"2019-08-19 04:27:14","2019-08-19 04:27:14",123,123,131,131
276,276,a3avffr73u39yp,a3avffr73u39yp,3,3,18,18,"if so","if so","with a","with a",of,of,be,be,survey,survey,will,will,,,,,,,,,"2019-08-19 04:28:15","2019-08-19 04:28:15",123,123,131,131
277,277,AENGDOS693JKO,AENGDOS693JKO,2,2,2,2,WHEN,WHEN,ANNOUNCE,ANNOUNCE,"WELFARE SCHEMES","WELFARE SCHEMES",SECTOR,SECTOR,THESE,THESE,ARE,ARE,,,,,,,,,"2019-08-19 04:29:21","2019-08-19 04:29:21",123,123,121,121
278,278,a3avffr73u39yp,a3avffr73u39yp,3,3,15,15,once,once,"and you","and you","this survey","this survey",and,and,reception,reception,send,send,the,the,the,the,,,,,"2019-08-19 04:29:40","2019-08-19 04:29:40",123,123,131,131
279,279,a3avffr73u39yp,a3avffr73u39yp,2,2,11,11,this,this,are,are,the,the,use,use,"best way","best way",,,,,,,,,,,"2019-08-19 04:35:16","2019-08-19 04:35:16",123,123,121,121
280,280,a3avffr73u39yp,a3avffr73u39yp,2,2,7,7,"there are a","there are a","that are","that are",after,after,don,don,"the best","the best","and to","and to",,,,,,,,,"2019-08-19 04:36:17","2019-08-19 04:36:17",123,123,121,121
281,281,a3avffr73u39yp,a3avffr73u39yp,2,2,2,2,"we are a","we are a",that,that,"all research ","all research ",eye,eye,your,your,have,have,,,,,,,,,"2019-08-19 04:37:05","2019-08-19 04:37:05",123,123,121,121
282,282,A1B4477M694JWH,A1B4477M694JWH,3,3,24,24,The,The,Is,Is,That,That,With,With,,,,,,,,,,,,,"2019-08-19 05:04:56","2019-08-19 05:04:56",123,123,131,131
283,283,A1B4477M694JWH,A1B4477M694JWH,3,3,18,18,Hello,Hello,A,A,Of,Of,Be,Be,Profile,Profile,Will,Will,,,,,,,,,"2019-08-19 05:06:31","2019-08-19 05:06:31",123,123,131,131
284,284,A1B4477M694JWH,A1B4477M694JWH,3,3,15,15,,,,,,,,,,,,,,,,,,,,,"2019-08-19 05:06:37","2019-08-19 05:06:37",123,123,131,131
285,285," COPIEDA13QJNRZBYBXU"," COPIEDA13QJNRZBYBXU",3,3,24,24,The,The,is,is,that,that,with,with,answers,answers,,,,,,,,,,,"2019-08-19 05:58:32","2019-08-19 05:58:32",123,123,131,131
286,286," COPIEDA13QJNRZBYBXU"," COPIEDA13QJNRZBYBXU",3,3,18,18,Now,Now,a,a,of,of,be,be,answer,answer,will,will,,,,,,,,,"2019-08-19 05:59:07","2019-08-19 05:59:07",123,123,131,131
287,287," COPIEDA13QJNRZBYBXU"," COPIEDA13QJNRZBYBXU",3,3,15,15,Now,Now,you,you,off,off,and,and,officer,officer,return,return,the,the,the,the,,,,,"2019-08-19 05:59:45","2019-08-19 05:59:45",123,123,131,131
288,288,A2TZH3L7RO6RFS,A2TZH3L7RO6RFS,2,2,11,11,Agreeing,Agreeing,agree,agree,the,the,collect,collect,form,form,,,,,,,,,,,"2019-08-19 08:16:03","2019-08-19 08:16:03",123,123,121,121
289,289,A2TZH3L7RO6RFS,A2TZH3L7RO6RFS,2,2,7,7,A,A,are,are,without,without,cannot,cannot,the,the,to,to,,,,,,,,,"2019-08-19 08:17:09","2019-08-19 08:17:09",123,123,121,121
290,290,A2TZH3L7RO6RFS,A2TZH3L7RO6RFS,2,2,2,2,A,A,will,will,it,it,eye,eye,identifiable,identifiable,agreed,agreed,,,,,,,,,"2019-08-19 08:19:03","2019-08-19 08:19:03",123,123,121,121
291,291,AW8ZTARYROEN5,AW8ZTARYROEN5,4,4,36,36,If,If,aspects,aspects,we,we,with,with,,,,,,,,,,,,,"2019-08-19 11:59:00","2019-08-19 11:59:00",123,123,141,141
292,292,AW8ZTARYROEN5,AW8ZTARYROEN5,4,4,32,32,You,You,diagnosis,diagnosis,it,it,prostate,prostate,anywhere,anywhere,,,,,,,,,,,"2019-08-19 12:03:11","2019-08-19 12:03:11",123,123,141,141
293,293,AW8ZTARYROEN5,AW8ZTARYROEN5,4,4,27,27,The,The,university,university,have,have,"relates to","relates to",who,who,"in order to","in order to",process,process,or,or,,,,,"2019-08-19 12:12:21","2019-08-19 12:12:21",123,123,141,141
294,294,A31LCNCQS2AJR2,A31LCNCQS2AJR2,4,4,36,36,If,If,part,part,we,we,with,with,,,,,,,,,,,,,"2019-08-19 12:23:24","2019-08-19 12:23:24",123,123,141,141
295,295,A31LCNCQS2AJR2,A31LCNCQS2AJR2,4,4,32,32,You,You,symptom,symptom,symptom,symptom,prostate,prostate,anywhere,anywhere,,,,,,,,,,,"2019-08-19 12:24:08","2019-08-19 12:24:08",123,123,141,141
296,296,A31LCNCQS2AJR2,A31LCNCQS2AJR2,4,4,27,27,The,The,location,location,gain,gain,includes,includes,that,that,to,to,read,read,or,or,,,,,"2019-08-19 12:25:59","2019-08-19 12:25:59",123,123,141,141
297,297,A1WQ6L249FECB1,A1WQ6L249FECB1,2,2,11,11,"This study","This study",participate,participate,this,this,use,use,future,future,,,,,,,,,,,"2019-08-19 15:39:34","2019-08-19 15:39:34",123,123,121,121
298,298,A20QIK6A7IYV2M,A20QIK6A7IYV2M,2,2,11,11,"Research ","Research ","Want ","Want ",The,The,Take,Take,"Areas ","Areas ",,,,,,,,,,,"2019-08-19 19:02:33","2019-08-19 19:02:33",123,123,121,121
299,299,A20QIK6A7IYV2M,A20QIK6A7IYV2M,2,2,7,7,"The ","The ","Who is ","Who is ","Have ","Have ","Didn't ","Didn't ","The ","The ",To,To,,,,,,,,,"2019-08-19 19:05:38","2019-08-19 19:05:38",123,123,121,121
300,300,AICFRX1VZ9Q91,AICFRX1VZ9Q91,2,2,11,11,,,need,need,surveys,surveys,put,put,system,system,,,,,,,,,,,"2019-08-19 23:31:32","2019-08-19 23:31:32",123,123,121,121
301,301,AICFRX1VZ9Q91,AICFRX1VZ9Q91,2,2,7,7,It's,It's,that,that,with,with,don,don,the,the,for,for,,,,,,,,,"2019-08-19 23:32:58","2019-08-19 23:32:58",123,123,121,121
302,302,AICFRX1VZ9Q91,AICFRX1VZ9Q91,2,2,2,2,,,,,,,,,data,data,,,,,,,,,,,"2019-08-19 23:33:57","2019-08-19 23:33:57",123,123,121,121
303,303,AEV815WVDIAJQ,AEV815WVDIAJQ,2,2,11,11,It,It,agree,agree,this,this,use,use,records,records,,,,,,,,,,,"2019-08-20 09:20:15","2019-08-20 09:20:15",123,123,121,121
304,304,AEV815WVDIAJQ,AEV815WVDIAJQ,2,2,7,7,The,The,seen,seen,have,have,don,don,the,the,and,and,,,,,,,,,"2019-08-20 09:24:44","2019-08-20 09:24:44",123,123,121,121
305,305,AEV815WVDIAJQ,AEV815WVDIAJQ,2,2,2,2,In,In,they,they,all,all,sector,sector,recorded,recorded,have,have,,,,,,,,,"2019-08-20 09:26:26","2019-08-20 09:26:26",123,123,121,121
306,306,yo,yo,2,2,11,11,clzL2-1.html,clzL2-1.html,,,,,,,,,,,,,,,,,,,"2019-08-21 17:20:29","2019-08-21 17:20:29",123,123,21,21
307,307,yo,yo,2,2,7,7,clzL2-2.html,clzL2-2.html,,,,,,,,,,,,,,,,,,,"2019-08-21 17:20:46","2019-08-21 17:20:46",123,123,21,21
308,308,yo,yo,2,2,2,2,clzL2-3.html,clzL2-3.html,,,,,,,,,,,,,,,,,,,"2019-08-21 17:21:01","2019-08-21 17:21:01",123,123,21,21
309,309,A2T63C3AQSLSGA,A2T63C3AQSLSGA,4,4,36,36,If,If,part,part,we,we,with,with,,,,,,,,,,,,,"2019-08-21 17:31:06","2019-08-21 17:31:06",123,123,41,41
310,310,A2T63C3AQSLSGA,A2T63C3AQSLSGA,4,4,32,32,You,You,diagnosis,diagnosis,it,it,prostate,prostate,anywhere,anywhere,,,,,,,,,,,"2019-08-21 17:31:52","2019-08-21 17:31:52",123,123,41,41
311,311,A2T63C3AQSLSGA,A2T63C3AQSLSGA,4,4,27,27,If,If,city,city,need,need,contains,contains,that,that,to,to,examine,examine,and,and,,,,,"2019-08-21 17:33:22","2019-08-21 17:33:22",123,123,41,41
312,312,A27GFCR0ET8WVG,A27GFCR0ET8WVG,4,4,36,36,,,,,,,,,,,,,,,,,,,,,"2019-08-21 17:38:25","2019-08-21 17:38:25",123,123,41,41
313,313,A2T63C3AQSLSGA,A2T63C3AQSLSGA,3,3,24,24,The,The,is,is,which,which,having,having,answers,answers,,,,,,,,,,,"2019-08-21 17:38:54","2019-08-21 17:38:54",123,123,31,31
314,314,A2T63C3AQSLSGA,A2T63C3AQSLSGA,3,3,18,18,Initially,Initially,a,a,of,of,be,be,answers,answers,will,will,,,,,,,,,"2019-08-21 17:39:17","2019-08-21 17:39:17",123,123,31,31
315,315,A2T63C3AQSLSGA,A2T63C3AQSLSGA,3,3,15,15,Finally,Finally,and,and,part,part,and,and,staff,staff,post,post,the,the,the,the,,,,,"2019-08-21 17:40:05","2019-08-21 17:40:05",123,123,31,31
316,316,AYANXOKRFW1ZD,AYANXOKRFW1ZD,2,2,11,11,This,This,agree,agree,a,a,collect,collect,manner,manner,,,,,,,,,,,"2019-08-21 17:40:27","2019-08-21 17:40:27",123,123,21,21
317,317,AYANXOKRFW1ZD,AYANXOKRFW1ZD,2,2,7,7,A,A,are,are,after,after,don,don,the,the,to,to,,,,,,,,,"2019-08-21 17:40:55","2019-08-21 17:40:55",123,123,21,21
318,318,AXBFJUI5IFJX2,AXBFJUI5IFJX2,4,4,36,36,,,,,,,,,,,,,,,,,,,,,"2019-08-21 17:41:07","2019-08-21 17:41:07",123,123,41,41
319,319,AYANXOKRFW1ZD,AYANXOKRFW1ZD,2,2,2,2,,,will,will,data,data,domain,domain,"Identifiable ","Identifiable ",have,have,,,,,,,,,"2019-08-21 17:41:39","2019-08-21 17:41:39",123,123,21,21
320,320,A2T63C3AQSLSGA,A2T63C3AQSLSGA,2,2,11,11,It,It,decide,decide,the,the,store,store,manner,manner,,,,,,,,,,,"2019-08-21 17:43:47","2019-08-21 17:43:47",123,123,21,21
321,321,A2T63C3AQSLSGA,A2T63C3AQSLSGA,2,2,7,7,Because,Because,are,are,after,after,don,don,the,the,to,to,,,,,,,,,"2019-08-21 17:44:07","2019-08-21 17:44:07",123,123,21,21
322,322,A2T63C3AQSLSGA,A2T63C3AQSLSGA,2,2,2,2,We're,We're,we,we,it,it,interest,interest,identifiable,identifiable,have,have,,,,,,,,,"2019-08-21 17:44:28","2019-08-21 17:44:28",123,123,21,21
323,323,A25RJ54AHZGDOO,A25RJ54AHZGDOO,4,4,36,36,If,If,part,part,we,we,with,with,,,,,,,,,,,,,"2019-08-21 17:45:10","2019-08-21 17:45:10",123,123,41,41
324,324,A25RJ54AHZGDOO,A25RJ54AHZGDOO,4,4,32,32,You,You,notification,notification,This,This,prostate,prostate,anywhere,anywhere,,,,,,,,,,,"2019-08-21 17:46:34","2019-08-21 17:46:34",123,123,41,41
325,325,A11MT3MTFDDRR9,A11MT3MTFDDRR9,2,2,11,11,which,which,ready,ready,this,this,take,take,,,,,,,,,,,,,"2019-08-21 17:50:39","2019-08-21 17:50:39",123,123,21,21
326,326,A25RJ54AHZGDOO,A25RJ54AHZGDOO,4,4,27,27,The,The,locality,locality,require,require,helps,helps,who,who,and,and,record,record,or,or,,,,,"2019-08-21 17:50:54","2019-08-21 17:50:54",123,123,41,41
327,327,A11MT3MTFDDRR9,A11MT3MTFDDRR9,2,2,7,7,while,while,who,who,taking,taking,can,can,the,the,and,and,,,,,,,,,"2019-08-21 17:52:41","2019-08-21 17:52:41",123,123,21,21
328,328,A11MT3MTFDDRR9,A11MT3MTFDDRR9,2,2,2,2,"this a","this a",which,which,this,this,,,,,,,,,,,,,,,"2019-08-21 17:54:07","2019-08-21 17:54:07",123,123,21,21
329,329,A208SQNN3F76S2,A208SQNN3F76S2,2,2,11,11,"this survey","this survey",participate,participate,medical,medical,use,use,"better documents","better documents",,,,,,,,,,,"2019-08-21 17:55:10","2019-08-21 17:55:10",123,123,21,21
330,330,A11MT3MTFDDRR9,A11MT3MTFDDRR9,2,2,11,11,This,This,agree,agree,"in a","in a",use,use,ways,ways,,,,,,,,,,,"2019-08-21 17:57:08","2019-08-21 17:57:08",123,123,21,21
331,331,A29HORM8VKJ6O0,A29HORM8VKJ6O0,2,2,11,11,This,This,"Volunteer ","Volunteer ",This,This,analyse,analyse,way,way,,,,,,,,,,,"2019-08-21 17:57:16","2019-08-21 17:57:16",123,123,21,21
332,332,A11MT3MTFDDRR9,A11MT3MTFDDRR9,2,2,7,7,A,A,are,are,after,after,don,don,the,the,to,to,,,,,,,,,"2019-08-21 17:58:06","2019-08-21 17:58:06",123,123,21,21
333,333,A29HORM8VKJ6O0,A29HORM8VKJ6O0,2,2,7,7,A,A,are,are,with,with,don,don,the,the,to,to,,,,,,,,,"2019-08-21 17:58:14","2019-08-21 17:58:14",123,123,21,21
334,334,A11MT3MTFDDRR9,A11MT3MTFDDRR9,2,2,2,2,As,As,we,we,it,it,intrest,intrest,identifiable,identifiable,have,have,,,,,,,,,"2019-08-21 17:59:22","2019-08-21 17:59:22",123,123,21,21
335,335,A29HORM8VKJ6O0,A29HORM8VKJ6O0,2,2,2,2,"We are","We are",and,and,research,research,interest,interest,Identifiable,Identifiable,have,have,,,,,,,,,"2019-08-21 18:00:14","2019-08-21 18:00:14",123,123,21,21
336,336,A300NSYGWVGOMM,A300NSYGWVGOMM,2,2,11,11,Accepting,Accepting,agree,agree,a,a,store,store,database,database,,,,,,,,,,,"2019-08-21 18:01:25","2019-08-21 18:01:25",123,123,21,21
337,337,A300NSYGWVGOMM,A300NSYGWVGOMM,2,2,7,7,A,A,are,are,with,with,don,don,the,the,to,to,,,,,,,,,"2019-08-21 18:02:00","2019-08-21 18:02:00",123,123,21,21
338,338,A300NSYGWVGOMM,A300NSYGWVGOMM,2,2,2,2,With,With,we,we,nothing,nothing,domain,domain,identifiable,identifiable,have,have,,,,,,,,,"2019-08-21 18:03:09","2019-08-21 18:03:09",123,123,21,21
339,339,A1VIAHZ5BR79G9,A1VIAHZ5BR79G9,2,2,11,11,,,,,,,,,,,,,,,,,,,,,"2019-08-21 18:08:54","2019-08-21 18:08:54",123,123,21,21
340,340,A1VIAHZ5BR79G9,A1VIAHZ5BR79G9,2,2,11,11,Privacy,Privacy,agree,agree," medical"," medical",keep,keep,database,database,,,,,,,,,,,"2019-08-21 18:09:59","2019-08-21 18:09:59",123,123,21,21
341,341,A1VIAHZ5BR79G9,A1VIAHZ5BR79G9,2,2,7,7,A,A,are,are,after,after,don,don,different,different,to,to,,,,,,,,,"2019-08-21 18:10:35","2019-08-21 18:10:35",123,123,21,21
342,342,A29HORM8VKJ6O0,A29HORM8VKJ6O0,4,4,36,36,If,If,Part,Part,We,We,further,further,,,,,,,,,,,,,"2019-08-21 18:11:05","2019-08-21 18:11:05",123,123,41,41
343,343,A29HORM8VKJ6O0,A29HORM8VKJ6O0,4,4,32,32,You,You,"diagnosis ","diagnosis ",which,which,prostate,prostate,anywhere,anywhere,,,,,,,,,,,"2019-08-21 18:12:04","2019-08-21 18:12:04",123,123,41,41
344,344,AT0FMX0TMDC03,AT0FMX0TMDC03,4,4,36,36,If,If,parts,parts,we,we,with,with,,,,,,,,,,,,,"2019-08-21 18:12:18","2019-08-21 18:12:18",123,123,41,41
345,345,A1VIAHZ5BR79G9,A1VIAHZ5BR79G9,2,2,2,2,We're,We're,we,we,security,security,domain,domain,identifiable,identifiable,have,have,,,,,,,,,"2019-08-21 18:12:46","2019-08-21 18:12:46",123,123,21,21
346,346,A29HORM8VKJ6O0,A29HORM8VKJ6O0,4,4,27,27,The,The,"University ","University ",have,have,identifies,identifies,who,who,To,To,study,study,and,and,,,,,"2019-08-21 18:13:37","2019-08-21 18:13:37",123,123,41,41
347,347,A25RJ54AHZGDOO,A25RJ54AHZGDOO,2,2,11,11,Appropriateness,Appropriateness,consent,consent,the,the,store,store,ways,ways,,,,,,,,,,,"2019-08-21 18:13:40","2019-08-21 18:13:40",123,123,21,21
348,348,AT0FMX0TMDC03,AT0FMX0TMDC03,4,4,32,32,Patients,Patients,,,,,,,,,,,,,,,,,,,"2019-08-21 18:14:28","2019-08-21 18:14:28",123,123,41,41
349,349,A3IGX9S92GTNMI,A3IGX9S92GTNMI,4,4,36,36,If,If,parts,parts,We,We,with,with,,,,,,,,,,,,,"2019-08-21 18:14:39","2019-08-21 18:14:39",123,123,41,41
350,350,A7Y524016WTCJ,A7Y524016WTCJ,4,4,36,36,If,If,part,part,we,we,full,full,,,,,,,,,,,,,"2019-08-21 18:14:45","2019-08-21 18:14:45",123,123,41,41
351,351,A25RJ54AHZGDOO,A25RJ54AHZGDOO,2,2,7,7,A,A,are,are,with,with,don,don,possible,possible,to,to,,,,,,,,,"2019-08-21 18:15:28","2019-08-21 18:15:28",123,123,21,21
352,352,A3IGX9S92GTNMI,A3IGX9S92GTNMI,4,4,32,32,You,You,diagnosis,diagnosis,Cancer,Cancer,Prostate,Prostate,anywhere,anywhere,,,,,,,,,,,"2019-08-21 18:15:41","2019-08-21 18:15:41",123,123,41,41
353,353,AT0FMX0TMDC03,AT0FMX0TMDC03,4,4,27,27,The,The,whole,whole,have,have,,,,,,,,,,,,,,,"2019-08-21 18:15:55","2019-08-21 18:15:55",123,123,41,41
354,354,A7Y524016WTCJ,A7Y524016WTCJ,4,4,32,32,Many,Many,diagnosis,diagnosis,which,which,prostate,prostate,anywhere,anywhere,,,,,,,,,,,"2019-08-21 18:15:57","2019-08-21 18:15:57",123,123,41,41
355,355,A25RJ54AHZGDOO,A25RJ54AHZGDOO,2,2,2,2,As,As,we,we,it,it,interest,interest,confidential,confidential,have,have,,,,,,,,,"2019-08-21 18:17:41","2019-08-21 18:17:41",123,123,21,21
356,356,A3IGX9S92GTNMI,A3IGX9S92GTNMI,4,4,27,27,It's,It's,City,City,have,have,helps,helps,"with the","with the",can,can,Read,Read,Pantry,Pantry,,,,,"2019-08-21 18:19:07","2019-08-21 18:19:07",123,123,41,41
357,357,A24MHO7W38BYP8,A24MHO7W38BYP8,4,4,36,36,If,If,parts,parts,we,we,with,with,,,,,,,,,,,,,"2019-08-21 18:27:26","2019-08-21 18:27:26",123,123,41,41
358,358,A7Y524016WTCJ,A7Y524016WTCJ,4,4,27,27,Authorised,Authorised,University,University,need,need,contact,contact,who,who,to,to,check,check,or,or,,,,,"2019-08-21 18:28:01","2019-08-21 18:28:01",123,123,41,41
359,359,A24MHO7W38BYP8,A24MHO7W38BYP8,4,4,32,32,Patient,Patient,diagnosis,diagnosis,tumour,tumour,prostate,prostate,anywhere,anywhere,,,,,,,,,,,"2019-08-21 18:28:09","2019-08-21 18:28:09",123,123,41,41
360,360,A24MHO7W38BYP8,A24MHO7W38BYP8,4,4,27,27,The,The,University,University,have,have,identifies,identifies,who,who,to,to,collect,collect,and,and,,,,,"2019-08-21 18:29:48","2019-08-21 18:29:48",123,123,41,41
361,361,A34GAZW7WFPOMU,A34GAZW7WFPOMU,4,4,36,36,Here,Here,aspect,aspect,Doctors,Doctors,accurate,accurate,,,,,,,,,,,,,"2019-08-21 18:41:30","2019-08-21 18:41:30",123,123,41,41
362,362,A34GAZW7WFPOMU,A34GAZW7WFPOMU,4,4,32,32,doctors,doctors,diagnosis,diagnosis,"The cancer","The cancer",prostate,prostate,anywhere,anywhere,,,,,,,,,,,"2019-08-21 18:42:09","2019-08-21 18:42:09",123,123,41,41
363,363,A34GAZW7WFPOMU,A34GAZW7WFPOMU,4,4,27,27,The,The,University,University,provide,provide,helps,helps,who,who,to,to,Examine,Examine,Doctors,Doctors,,,,,"2019-08-21 18:44:20","2019-08-21 18:44:20",123,123,41,41
364,364,A34GAZW7WFPOMU,A34GAZW7WFPOMU,3,3,24,24,The,The,is,is,that,that,with,with,data,data,,,,,,,,,,,"2019-08-21 18:49:43","2019-08-21 18:49:43",123,123,31,31
365,365,A34GAZW7WFPOMU,A34GAZW7WFPOMU,3,3,18,18,Then,Then,a,a,of,of,be,be,identity,identity,will,will,,,,,,,,,"2019-08-21 18:50:07","2019-08-21 18:50:07",123,123,31,31
366,366,A34GAZW7WFPOMU,A34GAZW7WFPOMU,3,3,15,15,Then,Then,and,and,part,part,and,and,workers,workers,post,post,the,the,the,the,,,,,"2019-08-21 18:51:02","2019-08-21 18:51:02",123,123,31,31
367,367,A3T8E8EB9HUYOS,A3T8E8EB9HUYOS,3,3,24,24,,,,,,,,,,,,,,,,,,,,,"2019-08-21 18:54:10","2019-08-21 18:54:10",123,123,31,31
368,368,A3T8E8EB9HUYOS,A3T8E8EB9HUYOS,3,3,24,24,The,The,is,is,that,that,with,with,answers,answers,,,,,,,,,,,"2019-08-21 18:58:32","2019-08-21 18:58:32",123,123,31,31
369,369,A3T8E8EB9HUYOS,A3T8E8EB9HUYOS,3,3,18,18,,,a,a,of,of,be,be,,,will,will,,,,,,,,,"2019-08-21 18:59:02","2019-08-21 18:59:02",123,123,31,31
370,370,A3T8E8EB9HUYOS,A3T8E8EB9HUYOS,3,3,15,15,So,So,we,we,,,and,and,,,return,return,the,the,the,the,,,,,"2019-08-21 18:59:32","2019-08-21 18:59:32",123,123,31,31
371,371,A25RJ54AHZGDOO,A25RJ54AHZGDOO,3,3,24,24,The,The,is,is,that,that,with,with,information,information,,,,,,,,,,,"2019-08-21 19:04:19","2019-08-21 19:04:19",123,123,31,31
372,372,A25RJ54AHZGDOO,A25RJ54AHZGDOO,3,3,18,18,Firstly,Firstly,a,a,of,of,be,be,information,information,will,will,,,,,,,,,"2019-08-21 19:06:34","2019-08-21 19:06:34",123,123,31,31
373,373,A25RJ54AHZGDOO,A25RJ54AHZGDOO,3,3,15,15,Secondly,Secondly,if,if,part,part,and,and,clerk,clerk,post,post,the,the,the,the,,,,,"2019-08-21 19:08:22","2019-08-21 19:08:22",123,123,31,31
374,374,ATP40FOEOH3O2,ATP40FOEOH3O2,3,3,24,24,The,The,is,is,which,which,with,with,donations,donations,,,,,,,,,,,"2019-08-21 19:22:16","2019-08-21 19:22:16",123,123,31,31
375,375,ATP40FOEOH3O2,ATP40FOEOH3O2,3,3,18,18,Now,Now,a,a,of,of,be,be,results,results,will,will,,,,,,,,,"2019-08-21 19:22:46","2019-08-21 19:22:46",123,123,31,31
376,376,ATP40FOEOH3O2,ATP40FOEOH3O2,3,3,15,15,If,If,you,you,part,part,and,and,instructors,instructors,post,post,the,the,the,the,,,,,"2019-08-21 19:23:54","2019-08-21 19:23:54",123,123,31,31
377,377,A12KYR4MHARIK7,A12KYR4MHARIK7,3,3,24,24,The,The,is,is,that,that,with,with,research,research,,,,,,,,,,,"2019-08-21 19:24:12","2019-08-21 19:24:12",123,123,31,31
378,378,A12KYR4MHARIK7,A12KYR4MHARIK7,3,3,18,18,Today,Today,a,a,of,of,be,be,answers,answers,will,will,,,,,,,,,"2019-08-21 19:24:41","2019-08-21 19:24:41",123,123,31,31
379,379,A12KYR4MHARIK7,A12KYR4MHARIK7,3,3,15,15,Finally,Finally,we,we,part,part,and,and,reviewer,reviewer,post,post,the,the,the,the,,,,,"2019-08-21 19:25:27","2019-08-21 19:25:27",123,123,31,31
380,380,ARYZT0RO8N5P1,ARYZT0RO8N5P1,2,2,11,11,This,This,agree,agree,medical,medical,Collect,Collect,areas,areas,,,,,,,,,,,"2019-08-21 19:50:31","2019-08-21 19:50:31",123,123,21,21
381,381,ARYZT0RO8N5P1,ARYZT0RO8N5P1,2,2,7,7,The,The,are,are,With,With,don,don,possible,possible,to,to,,,,,,,,,"2019-08-21 19:51:24","2019-08-21 19:51:24",123,123,21,21
382,382,ARYZT0RO8N5P1,ARYZT0RO8N5P1,2,2,2,2,"charities,","charities,","at least","at least",research,research,interest,interest,collected,collected,have,have,,,,,,,,,"2019-08-21 19:54:22","2019-08-21 19:54:22",123,123,21,21
383,383,A27P16LFLZGFPR,A27P16LFLZGFPR,2,2,11,11,it,it,want,want,this,this,collect,collect,sample,sample,,,,,,,,,,,"2019-08-21 20:33:12","2019-08-21 20:33:12",123,123,21,21
384,384,A27P16LFLZGFPR,A27P16LFLZGFPR,2,2,7,7,the,the,"that are","that are",with,with,have,have,the,the,to,to,,,,,,,,,"2019-08-21 20:35:00","2019-08-21 20:35:00",123,123,21,21
385,385,A27P16LFLZGFPR,A27P16LFLZGFPR,2,2,2,2,so,so,which,which,it,it,interest,interest,sample,sample,have,have,,,,,,,,,"2019-08-21 20:37:42","2019-08-21 20:37:42",123,123,21,21
386,386,COPIEDA3QUNHOJCSQDXX,COPIEDA3QUNHOJCSQDXX,4,4,36,36,If,If,Part,Part,They,They,With,With,,,,,,,,,,,,,"2019-08-21 21:14:47","2019-08-21 21:14:47",123,123,41,41
387,387,A3QUNHOJCSQDXX,A3QUNHOJCSQDXX,4,4,32,32,You,You,Risk,Risk,Cancer,Cancer,Prostate,Prostate,Anywhere,Anywhere,,,,,,,,,,,"2019-08-21 21:16:01","2019-08-21 21:16:01",123,123,41,41
388,388,A3QUNHOJCSQDXX,A3QUNHOJCSQDXX,4,4,27,27,The,The,City,City,Have,Have,Identifies,Identifies,That,That,To,To,Review,Review,And,And,,,,,"2019-08-21 21:17:35","2019-08-21 21:17:35",123,123,41,41
389,389,COPIEDA2WG63TQT4LVPG,COPIEDA2WG63TQT4LVPG,4,4,36,36,If,If,time,time,we,we,with,with,,,,,,,,,,,,,"2019-08-21 21:41:24","2019-08-21 21:41:24",123,123,41,41
390,390,COPIEDA2WG63TQT4LVPG,COPIEDA2WG63TQT4LVPG,4,4,32,32,We,We,case,case,which,which,area,area,anywhere,anywhere,,,,,,,,,,,"2019-08-21 21:45:16","2019-08-21 21:45:16",123,123,41,41
391,391,COPIEDA2WG63TQT4LVPG,COPIEDA2WG63TQT4LVPG,4,4,27,27,The,The,university,university,have,have,,,that,that,and,and,collect,collect,pass,pass,,,,,"2019-08-21 21:53:29","2019-08-21 21:53:29",123,123,41,41
392,392,AUN1LGCVAUMIK,AUN1LGCVAUMIK,3,3,24,24,The,The,is,is,that,that,with,with,help,help,,,,,,,,,,,"2019-08-21 22:35:02","2019-08-21 22:35:02",123,123,31,31
393,393,AUN1LGCVAUMIK,AUN1LGCVAUMIK,3,3,18,18,next,next,with,with,point,point,be,be,test,test,and,and,,,,,,,,,"2019-08-21 22:36:33","2019-08-21 22:36:33",123,123,31,31
394,394,AUN1LGCVAUMIK,AUN1LGCVAUMIK,3,3,15,15,after,after,"if you are","if you are",it,it,and,and,team,team,mail,mail,the,the,a,a,,,,,"2019-08-21 22:38:10","2019-08-21 22:38:10",123,123,31,31
395,395,A27QIBL4MO6Z0X,A27QIBL4MO6Z0X,3,3,24,24,the,the,"is to","is to",that,that,with,with,response,response,,,,,,,,,,,"2019-08-21 22:52:54","2019-08-21 22:52:54",123,123,31,31
396,396,A27QIBL4MO6Z0X,A27QIBL4MO6Z0X,3,3,18,18,Attention,Attention,a,a,of,of,be,be,age,age,will,will,,,,,,,,,"2019-08-21 22:53:45","2019-08-21 22:53:45",123,123,31,31
